0 1 {}
0 2 {}
0 4 {}
0 5 {}
0 8 {}
0 15 {}
0 17 {}
0 18 {}
0 45 {}
0 55 {}
0 56 {}
0 61 {}
0 62 {}
0 67 {}
0 71 {}
0 79 {}
0 80 {}
0 87 {}
0 91 {}
1 9 {}
1 19 {}
1 22 {}
1 40 {}
1 42 {}
1 63 {}
2 3 {}
2 7 {}
2 12 {}
2 14 {}
3 21 {}
3 25 {}
4 11 {}
4 94 {}
5 6 {}
5 10 {}
5 38 {}
5 74 {}
5 93 {}
7 16 {}
7 20 {}
7 29 {}
7 34 {}
7 36 {}
7 37 {}
7 69 {}
8 31 {}
10 13 {}
10 78 {}
11 33 {}
11 73 {}
16 26 {}
16 27 {}
17 39 {}
17 53 {}
17 57 {}
17 81 {}
17 99 {}
18 32 {}
20 35 {}
20 48 {}
21 23 {}
21 88 {}
22 24 {}
22 28 {}
22 30 {}
22 43 {}
22 49 {}
24 51 {}
24 58 {}
24 92 {}
26 65 {}
27 66 {}
30 41 {}
30 68 {}
30 70 {}
30 96 {}
31 59 {}
32 50 {}
32 84 {}
34 44 {}
34 64 {}
38 47 {}
38 52 {}
38 54 {}
38 60 {}
38 72 {}
39 75 {}
43 90 {}
44 46 {}
45 76 {}
45 82 {}
45 86 {}
57 77 {}
57 85 {}
59 95 {}
75 97 {}
79 83 {}
88 89 {}
90 98 {}
